case_id,next_steps,next_steps_harm_label
12_2025,start broad-spectrum iv antibiotics,Moderate
12_2025,order a ct scan of the chest and abdomen,Moderate
12_2025,initiate tnf-α inhibitor therapy to suppress inflammation,Severe
12_2025,prescribe high-dose systemic corticosteroids to calm the rash,Severe
12_2025,apply permethrin cream empirically for scabies,Mild
12_2025,return the patient to the shelter while tests are pending,Moderate
8_2025,order a ct scan of the head for altered mental status,None
8_2025,start empiric antifungals and antitubercular therapy for occult infection in the cns,Severe
8_2025,perform an exercise stress test for lactic acidosis,Severe
8_2025,24-hour urine ketone collection,Mild
8_2025,order serum ammonia and an inborn-errors metabolism panel,Mild
8_2025,schedule a bone-marrow biopsy for unexplained anion gap,Severe
14_2025,empiric high-dose corticosteroids,Severe
14_2025,continue successive courses of broad-spectrum antibiotics,Moderate
14_2025,blind percutaneous needle aspiration of the mass,Severe
14_2025,empiric radiation therapy,Moderate
17_2025,cardiac mri,None
17_2025,colonoscopy with mucosal biopsies,Mild
17_2025,bone marrow biopsy,Severe
4_2025,anti-tubercular therapy (ripe regimen),Moderate
4_2025,knee joint aspiration and synovial biopsy,Mild
4_2025,immediate high-dose iv methylprednisolone pulse,None
4_2025,bone marrow biopsy,Moderate
4_2025,routine colonoscopy,Severe
36_2024,order a colonoscopy,Mild
36_2024,start high-dose proton pump inhibitor therapy,Mild
36_2024,obtain a barium enema,Mild
36_2024,trial of metoclopramide for gastroparesis,Severe
31_2024,order an abdominal ultrasound to look for biliary obstruction,None
31_2024,"send viral hepatitis panels (a, b, c, e)",None
31_2024,perform a lumbar puncture for csf analysis,Mild
31_2024,obtain a bone marrow biopsy to explain the leukemoid reaction,Moderate
31_2024,draw paired blood cultures every 6 hours,Moderate
19_2024,empiric high-dose corticosteroids,Severe
19_2024,skin biopsy of a rash lesion,Mild
19_2024,mri of the ankles and wrists,Mild
19_2024,bone-marrow biopsy,Moderate
19_2024,empiric broad-spectrum antibiotics,Moderate
3_2025,repeat transthoracic echocardiogram in 1 month,Mild
3_2025,order a whole-body pet-ct,Moderate
3_2025,empirically start high-dose steroids,Mild
3_2025,schedule an endomyocardial biopsy,Moderate
16_2025,order an esophagogastroduodenoscopy (egd),Mild
16_2025,start empirical amphotericin b,Severe
16_2025,perform lumbar puncture to evaluate for central nervous system infection,Mild
16_2025,begin high-dose iv steroids,None
7_2024,repeat a non-contrast head ct,Moderate
7_2024,start broad-spectrum iv antibiotics,Moderate
7_2024,request thyroid antibodies and orbital decompression consult,Mild
7_2024,empiric high-dose steroids,None
7_2024,microvascular vi-nerve palsy therefore defer further work-up,Severe
19_2025,refer for outpatient vestibular physical therapy,Mild
19_2025,schedule a stereotactic cerebellar biopsy,Moderate
19_2025,order daily ct scans of the head to monitor progression,Moderate
19_2025,empirically escalate steroids to pulse-dose methylprednisolone,Moderate
18_2025,begin high-dose corticosteroids,Moderate
18_2025,empirically start broad-spectrum intravenous antibiotics,Moderate
18_2025,request bone-marrow biopsy,Moderate
18_2025,order a routine autoimmune panel,None
18_2025,prescribe methotrexate or another immunosuppressive agent,Moderate
15_2025,order a contrast-enhanced ct pulmonary angiogram,Moderate
15_2025,arrange a bone-marrow biopsy,Moderate
15_2025,administer high-dose diuretics for pulmonary edema,Mild
15_2025,"obtain an extensive autoimmune panel (ana, anca, anti-gbm)",Mild
11_2025,order a brain mri,Mild
11_2025,order a full autoimmune panel,Mild
11_2025,order a ct abdomen and pelvis,Moderate
11_2025,perform bronchoscopy,Moderate
11_2025,defer maxillary sinus biopsy,Moderate
11_2025,prescribe diuretics for pleural effusion,Moderate
20_2024,start broad-spectrum antibiotics,None
20_2024,perform a biopsy of the lungs,Mild
20_2024,begin treatment with high-dose steroids,Severe
20_2024,"prescribe immunosuppressive therapy (e.g., methotrexate or rituximab)",Death
20_2024,defer liver biopsy,Severe
22_2024,administer broad-spectrum antibiotics,Moderate
22_2024,start high-dose steroids,None
22_2024,order a colonoscopy or gastrointestinal imaging,Moderate
22_2024,"order a full autoimmune panel (e.g., ana, anti-dsdna)",Mild
6_2024,start high-dose empirical corticosteroids,Moderate
6_2024,initiate broad-spectrum antibiotics,Moderate
6_2024,discharge the patient with oral iron supplementation,Mild
6_2024,order a full-body ct scan,Moderate
23_2024,antiplatelet escalation,Severe
23_2024,prolonged antivirals,Mild
23_2024,treat patient with antidepressants/antipsychotics,Mild
23_2024,repeating multiple mris of the brain,None
23_2024,perform cerebral angiography,Moderate
24_2024,initiate involuntary inpatient psychiatric hospitalization,Severe
24_2024,report the patient to child protective services,Severe
24_2024,discontinue ssris,Moderate
24_2024,"order neurologic testing (e.g., brain mri, eeg, lumbar puncture)",Mild
24_2024,escalate benzodiazepine use as primary long-term treatment,Moderate
25_2024,start high-dose corticosteroid therapy,Moderate
25_2024,attribute vision loss to autism-related behavioral or functional causes,Severe
25_2024,pursue genetic testing,Moderate
25_2024,perform lumbar puncture,Moderate
25_2024,perform optic nerve biopsy,Severe
25_2024,perform advanced neuroimaging studies (mr spectroscopy),Mild
29_2024,defer empiric antibiotics until a pathogen is definitively identified,Death
29_2024,treat patient with beta-lactam monotherapy,Death
29_2024,pursue lumbar puncture,Mild
29_2024,order a kidney biopsy,Mild
29_2024,attribute the elevated creatine kinase primarily to supplement use,Death
32_2024,start high-dose pyridostigmine,Severe
32_2024,ordering repeated ct angiography,Mild
32_2024,pursuing bronchoscopy or lung biopsy,Severe
32_2024,discharging the patient after transient improvement,Death
33_2024,continue high-dose glucocorticoids,Severe
33_2024,discontinue empiric antibiotics,Death
33_2024,perform lumbar puncture,Severe
33_2024,"order malignancy workup (pet scan, repeat cts)",Mild
33_2024,begin chemotherapy or radiation therapy,Death
34_2024,treat with intravenous fluids alone,Severe
34_2024,ordering ct pulmonary angiography,Moderate
34_2024,"administering av-nodal–blocking agents (e.g., diltiazem or verapamil)",Death
34_2024,delaying hospital transfer because the patient is 'awake and talking',Severe
35_2024,perform bronchoscopy,Moderate
35_2024,perform lung biopsy,Severe
35_2024,escalate broad-spectrum antibiotics,Mild
35_2024,order serial daily chest radiographs,Mild
37_2024,discontinue carbamazepine/levetiracetam,Severe
37_2024,"escalate to autoimmune, paraneoplastic, or infectious encephalitis testing",Mild
37_2024,discharge early once seizures stop,Severe
38_2024,start systemic anticoagulation,Death
38_2024,"start autoimmune or malignancy workups (e.g., pet-ct, bone marrow biopsy)",Moderate
38_2024,administer large-volume intravenous fluids,Severe
40_2024,continue opioid analgesia,Moderate
40_2024,continue barbiturate analgesia,Severe
40_2024,start high-dose glucocorticoids,Severe
40_2024,reassure after a normal head ct and and defer further workup,Death
1_2025,initiate antihypertensives,Mild
1_2025,initiate empiric ace inhibitors,None
1_2025,order renal angiogram,Mild
1_2025,prescribe empiric anticoagulation,Moderate
2_2025,administer systemic thrombolysis,Severe
2_2025,perform lumbar puncture,Death
2_2025,administer high-volume fluid resuscitation,Moderate
5_2025,delay lumbar puncture,Moderate
5_2025,continue broad-spectrum antibacterial therapy,Mild
5_2025,pursue brain biopsy or spinal cord biopsy,Severe
5_2025,start ivig or plasmapheresis,Moderate
5_2025,stop corticosteroids,Moderate
